Year,solar_gen_values,Countries
1965,0,Canada
1965,0,Mexico
1965,0,US
1965,0,Argentina
1965,0,Brazil
1965,0,Chile
1965,0,Colombia
1965,0,Ecuador
1965,0,Peru
1965,0,Trinidad and Tobago
1965,0,Venezuela
1965,0,Austria
1965,0,Belgium
1965,0,Bulgaria
1965,,Croatia
1965,0,Cyprus
1965,0,Czech Republic
1965,0,Denmark
1965,,Estonia
1965,0,Finland
1965,0,France
1965,0,Germany
1965,0,Greece
1965,0,Hungary
1965,0,Iceland
1965,0,Ireland
1965,0,Italy
1965,,Latvia
1965,,Lithuania
1965,0,Luxembourg
1965,0,Netherlands
1965,,North Macedonia
1965,0,Norway
1965,0,Poland
1965,0,Portugal
1965,0,Romania
1965,0,Slovakia
1965,,Slovenia
1965,0,Spain
1965,0,Sweden
1965,0,Switzerland
1965,0,Turkey
1965,0,Ukraine
1965,0,United Kingdom
1965,,Azerbaijan
1965,,Belarus
1965,,Kazakhstan
1965,,Russian Federation
1965,,Turkmenistan
1965,0,USSR
1965,,Uzbekistan
1965,0,Iran
1965,0,Iraq
1965,0,Israel
1965,0,Kuwait
1965,0,Oman
1965,0,Qatar
1965,0,Saudi Arabia
1965,0,United Arab Emirates
1965,0,Algeria
1965,0,Egypt
1965,0,Morocco
1965,0,South Africa
1965,0,Eastern Africa
1965,0,Australia
1965,0,Bangladesh
1965,0,China
1965,0,Hong Kong SAR
1965,0,India
1965,0,Indonesia
1965,0,Japan
1965,0,Malaysia
1965,0,New Zealand
1965,0,Pakistan
1965,0,Philippines
1965,0,Singapore
1965,0,South Korea
1965,0,Sri Lanka
1965,0,Taiwan
1965,0,Thailand
1965,0,Vietnam
1966,0,Canada
1966,0,Mexico
1966,0,US
1966,0,Argentina
1966,0,Brazil
1966,0,Chile
1966,0,Colombia
1966,0,Ecuador
1966,0,Peru
1966,0,Trinidad and Tobago
1966,0,Venezuela
1966,0,Austria
1966,0,Belgium
1966,0,Bulgaria
1966,,Croatia
1966,0,Cyprus
1966,0,Czech Republic
1966,0,Denmark
1966,,Estonia
1966,0,Finland
1966,0,France
1966,0,Germany
1966,0,Greece
1966,0,Hungary
1966,0,Iceland
1966,0,Ireland
1966,0,Italy
1966,,Latvia
1966,,Lithuania
1966,0,Luxembourg
1966,0,Netherlands
1966,,North Macedonia
1966,0,Norway
1966,0,Poland
1966,0,Portugal
1966,0,Romania
1966,0,Slovakia
1966,,Slovenia
1966,0,Spain
1966,0,Sweden
1966,0,Switzerland
1966,0,Turkey
1966,0,Ukraine
1966,0,United Kingdom
1966,,Azerbaijan
1966,,Belarus
1966,,Kazakhstan
1966,,Russian Federation
1966,,Turkmenistan
1966,0,USSR
1966,,Uzbekistan
1966,0,Iran
1966,0,Iraq
1966,0,Israel
1966,0,Kuwait
1966,0,Oman
1966,0,Qatar
1966,0,Saudi Arabia
1966,0,United Arab Emirates
1966,0,Algeria
1966,0,Egypt
1966,0,Morocco
1966,0,South Africa
1966,0,Eastern Africa
1966,0,Australia
1966,0,Bangladesh
1966,0,China
1966,0,Hong Kong SAR
1966,0,India
1966,0,Indonesia
1966,0,Japan
1966,0,Malaysia
1966,0,New Zealand
1966,0,Pakistan
1966,0,Philippines
1966,0,Singapore
1966,0,South Korea
1966,0,Sri Lanka
1966,0,Taiwan
1966,0,Thailand
1966,0,Vietnam
1967,0,Canada
1967,0,Mexico
1967,0,US
1967,0,Argentina
1967,0,Brazil
1967,0,Chile
1967,0,Colombia
1967,0,Ecuador
1967,0,Peru
1967,0,Trinidad and Tobago
1967,0,Venezuela
1967,0,Austria
1967,0,Belgium
1967,0,Bulgaria
1967,,Croatia
1967,0,Cyprus
1967,0,Czech Republic
1967,0,Denmark
1967,,Estonia
1967,0,Finland
1967,0,France
1967,0,Germany
1967,0,Greece
1967,0,Hungary
1967,0,Iceland
1967,0,Ireland
1967,0,Italy
1967,,Latvia
1967,,Lithuania
1967,0,Luxembourg
1967,0,Netherlands
1967,,North Macedonia
1967,0,Norway
1967,0,Poland
1967,0,Portugal
1967,0,Romania
1967,0,Slovakia
1967,,Slovenia
1967,0,Spain
1967,0,Sweden
1967,0,Switzerland
1967,0,Turkey
1967,0,Ukraine
1967,0,United Kingdom
1967,,Azerbaijan
1967,,Belarus
1967,,Kazakhstan
1967,,Russian Federation
1967,,Turkmenistan
1967,0,USSR
1967,,Uzbekistan
1967,0,Iran
1967,0,Iraq
1967,0,Israel
1967,0,Kuwait
1967,0,Oman
1967,0,Qatar
1967,0,Saudi Arabia
1967,0,United Arab Emirates
1967,0,Algeria
1967,0,Egypt
1967,0,Morocco
1967,0,South Africa
1967,0,Eastern Africa
1967,0,Australia
1967,0,Bangladesh
1967,0,China
1967,0,Hong Kong SAR
1967,0,India
1967,0,Indonesia
1967,0,Japan
1967,0,Malaysia
1967,0,New Zealand
1967,0,Pakistan
1967,0,Philippines
1967,0,Singapore
1967,0,South Korea
1967,0,Sri Lanka
1967,0,Taiwan
1967,0,Thailand
1967,0,Vietnam
1968,0,Canada
1968,0,Mexico
1968,0,US
1968,0,Argentina
1968,0,Brazil
1968,0,Chile
1968,0,Colombia
1968,0,Ecuador
1968,0,Peru
1968,0,Trinidad and Tobago
1968,0,Venezuela
1968,0,Austria
1968,0,Belgium
1968,0,Bulgaria
1968,,Croatia
1968,0,Cyprus
1968,0,Czech Republic
1968,0,Denmark
1968,,Estonia
1968,0,Finland
1968,0,France
1968,0,Germany
1968,0,Greece
1968,0,Hungary
1968,0,Iceland
1968,0,Ireland
1968,0,Italy
1968,,Latvia
1968,,Lithuania
1968,0,Luxembourg
1968,0,Netherlands
1968,,North Macedonia
1968,0,Norway
1968,0,Poland
1968,0,Portugal
1968,0,Romania
1968,0,Slovakia
1968,,Slovenia
1968,0,Spain
1968,0,Sweden
1968,0,Switzerland
1968,0,Turkey
1968,0,Ukraine
1968,0,United Kingdom
1968,,Azerbaijan
1968,,Belarus
1968,,Kazakhstan
1968,,Russian Federation
1968,,Turkmenistan
1968,0,USSR
1968,,Uzbekistan
1968,0,Iran
1968,0,Iraq
1968,0,Israel
1968,0,Kuwait
1968,0,Oman
1968,0,Qatar
1968,0,Saudi Arabia
1968,0,United Arab Emirates
1968,0,Algeria
1968,0,Egypt
1968,0,Morocco
1968,0,South Africa
1968,0,Eastern Africa
1968,0,Australia
1968,0,Bangladesh
1968,0,China
1968,0,Hong Kong SAR
1968,0,India
1968,0,Indonesia
1968,0,Japan
1968,0,Malaysia
1968,0,New Zealand
1968,0,Pakistan
1968,0,Philippines
1968,0,Singapore
1968,0,South Korea
1968,0,Sri Lanka
1968,0,Taiwan
1968,0,Thailand
1968,0,Vietnam
1969,0,Canada
1969,0,Mexico
1969,0,US
1969,0,Argentina
1969,0,Brazil
1969,0,Chile
1969,0,Colombia
1969,0,Ecuador
1969,0,Peru
1969,0,Trinidad and Tobago
1969,0,Venezuela
1969,0,Austria
1969,0,Belgium
1969,0,Bulgaria
1969,,Croatia
1969,0,Cyprus
1969,0,Czech Republic
1969,0,Denmark
1969,,Estonia
1969,0,Finland
1969,0,France
1969,0,Germany
1969,0,Greece
1969,0,Hungary
1969,0,Iceland
1969,0,Ireland
1969,0,Italy
1969,,Latvia
1969,,Lithuania
1969,0,Luxembourg
1969,0,Netherlands
1969,,North Macedonia
1969,0,Norway
1969,0,Poland
1969,0,Portugal
1969,0,Romania
1969,0,Slovakia
1969,,Slovenia
1969,0,Spain
1969,0,Sweden
1969,0,Switzerland
1969,0,Turkey
1969,0,Ukraine
1969,0,United Kingdom
1969,,Azerbaijan
1969,,Belarus
1969,,Kazakhstan
1969,,Russian Federation
1969,,Turkmenistan
1969,0,USSR
1969,,Uzbekistan
1969,0,Iran
1969,0,Iraq
1969,0,Israel
1969,0,Kuwait
1969,0,Oman
1969,0,Qatar
1969,0,Saudi Arabia
1969,0,United Arab Emirates
1969,0,Algeria
1969,0,Egypt
1969,0,Morocco
1969,0,South Africa
1969,0,Eastern Africa
1969,0,Australia
1969,0,Bangladesh
1969,0,China
1969,0,Hong Kong SAR
1969,0,India
1969,0,Indonesia
1969,0,Japan
1969,0,Malaysia
1969,0,New Zealand
1969,0,Pakistan
1969,0,Philippines
1969,0,Singapore
1969,0,South Korea
1969,0,Sri Lanka
1969,0,Taiwan
1969,0,Thailand
1969,0,Vietnam
1970,0,Canada
1970,0,Mexico
1970,0,US
1970,0,Argentina
1970,0,Brazil
1970,0,Chile
1970,0,Colombia
1970,0,Ecuador
1970,0,Peru
1970,0,Trinidad and Tobago
1970,0,Venezuela
1970,0,Austria
1970,0,Belgium
1970,0,Bulgaria
1970,,Croatia
1970,0,Cyprus
1970,0,Czech Republic
1970,0,Denmark
1970,,Estonia
1970,0,Finland
1970,0,France
1970,0,Germany
1970,0,Greece
1970,0,Hungary
1970,0,Iceland
1970,0,Ireland
1970,0,Italy
1970,,Latvia
1970,,Lithuania
1970,0,Luxembourg
1970,0,Netherlands
1970,,North Macedonia
1970,0,Norway
1970,0,Poland
1970,0,Portugal
1970,0,Romania
1970,0,Slovakia
1970,,Slovenia
1970,0,Spain
1970,0,Sweden
1970,0,Switzerland
1970,0,Turkey
1970,0,Ukraine
1970,0,United Kingdom
1970,,Azerbaijan
1970,,Belarus
1970,,Kazakhstan
1970,,Russian Federation
1970,,Turkmenistan
1970,0,USSR
1970,,Uzbekistan
1970,0,Iran
1970,0,Iraq
1970,0,Israel
1970,0,Kuwait
1970,0,Oman
1970,0,Qatar
1970,0,Saudi Arabia
1970,0,United Arab Emirates
1970,0,Algeria
1970,0,Egypt
1970,0,Morocco
1970,0,South Africa
1970,0,Eastern Africa
1970,0,Australia
1970,0,Bangladesh
1970,0,China
1970,0,Hong Kong SAR
1970,0,India
1970,0,Indonesia
1970,0,Japan
1970,0,Malaysia
1970,0,New Zealand
1970,0,Pakistan
1970,0,Philippines
1970,0,Singapore
1970,0,South Korea
1970,0,Sri Lanka
1970,0,Taiwan
1970,0,Thailand
1970,0,Vietnam
1971,0,Canada
1971,0,Mexico
1971,0,US
1971,0,Argentina
1971,0,Brazil
1971,0,Chile
1971,0,Colombia
1971,0,Ecuador
1971,0,Peru
1971,0,Trinidad and Tobago
1971,0,Venezuela
1971,0,Austria
1971,0,Belgium
1971,0,Bulgaria
1971,,Croatia
1971,0,Cyprus
1971,0,Czech Republic
1971,0,Denmark
1971,,Estonia
1971,0,Finland
1971,0,France
1971,0,Germany
1971,0,Greece
1971,0,Hungary
1971,0,Iceland
1971,0,Ireland
1971,0,Italy
1971,,Latvia
1971,,Lithuania
1971,0,Luxembourg
1971,0,Netherlands
1971,,North Macedonia
1971,0,Norway
1971,0,Poland
1971,0,Portugal
1971,0,Romania
1971,0,Slovakia
1971,,Slovenia
1971,0,Spain
1971,0,Sweden
1971,0,Switzerland
1971,0,Turkey
1971,0,Ukraine
1971,0,United Kingdom
1971,,Azerbaijan
1971,,Belarus
1971,,Kazakhstan
1971,,Russian Federation
1971,,Turkmenistan
1971,0,USSR
1971,,Uzbekistan
1971,0,Iran
1971,0,Iraq
1971,0,Israel
1971,0,Kuwait
1971,0,Oman
1971,0,Qatar
1971,0,Saudi Arabia
1971,0,United Arab Emirates
1971,0,Algeria
1971,0,Egypt
1971,0,Morocco
1971,0,South Africa
1971,0,Eastern Africa
1971,0,Australia
1971,0,Bangladesh
1971,0,China
1971,0,Hong Kong SAR
1971,0,India
